PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
48,52,903,1-1-36-260,260,Kesbewa East,කැස්බෑව නැගෙනහිර,கெஸ்‍பேவ கிழக்கு,572B
48,53,904,1-1-36-265,265,Mavittara South,මාවිත්තර දකුණ,மாவித்தர தெற்கு,586
48,54,905,1-1-36-270,270,Honnanthara North,හොන්නන්තර උතුර,ஹொன்னன்தர வடக்கு,585
48,55,906,1-1-36-275,275,Honnanthara South,හොන්නන්තර දකුණ,ஹொண்ணண்தர தெற்கு,585A
48,56,907,1-1-36-280,280,Makandana East,මාකන්දන නැගෙනහිර,மாகந்தண கிழக்கு,569
48,57,908,1-1-36-285,285,Kesbewa South,කැස්බෑව දකුණ,கெஸ்‍பேவ தெற்கு,572A
48,58,909,1-1-36-290,290,Batakettara South,බටකැත්තර දකුණ,பட்டகெத்தர தெற்கு,565A
48,59,910,1-1-36-295,295,Madapatha,මඩපාත,மடபாத்த,567
48,60,911,1-1-36-300,300,Delthara West,‍දැල්තර බටහිර,தெல்தர ‍மேற்கு,564
48,61,912,1-1-36-305,305,Delthara East,‍දැල්තර නැගෙනහිර,தெல்தர கிழக்கு,564A
48,62,913,1-1-36-310,310,Dampe,දාම්පේ,தம்‍பே,566
48,63,914,1-1-36-315,315,Makandana West,මාකන්දන බටහිර,மாகந்தண ‍மேற்கு,569A
48,64,915,1-1-36-320,320,Nivungama,නිවුන්ගම,நிவுண்கம,568A
